name|tags|str|dex|wil|hp|armour|data|desc|info||
Hook Horror|monster|15|8|6|7|3|2d8~Hooks|A ten-foot tall Horror stalks tunnels and caves, using its audible clicking as a form of echolocation. Its vision is very poor, and it is easily disoriented by loud noises.|Anything dog-sized or smaller is potential food to be swallowed whole when dealt Critical Damage, causing d6~STR Loss each turn after swallowing. It will treat anything larger than this as a threat to its territory and fight fiercely but will avoid anything larger than itself.||
Hootbear|monster|15|6|5|10|1|2d8~Claws, Hoot|Constantly gives out subsonic hooting, used to sense its surroundings. Thus you can never sneak up on one unless its hearing is somehow impaired.|\subparagraph{Hoot:} once per Rest, it can give out a single, boneshaking hoot that causes d6 Damage to everyone nearby. Anyone reduced to 0hp by this hoot is not at risk of a Critical Damage but must pass a \save{STR} or be Stunned for the next turn.||
Imp|monster,demon|6|16|14|3||d6~Venomous Bite, \mbox{non-magical} attacks are Impaired|A small winged demon-trickster. Can use its action to cast Detect Magic and Invisibility at will, and Suggestion once per Rest.|\subparagraph{Venomous Bite:} if the bite reduces STR score, \mbox{the target} suffers 1 DEX Loss as well.|\subparagraph{Shape-shift:} changes appearance to a small beast.|
Landshark|monster|17|8|8|18|3|d8~Bite|Carves through earth as if it were water, using this to lay in ambush for prey. If it fears for its life, a Landshark may cause a cave-in. Falling rocks will cause d6 Damage but anyone that stays long enough to be buried takes d10 Damage. The Landshark will have burrowed away before this point.|||
Leech Swarm|beast,swarm||14|6|9||d6~Bite, all weapon attacks are Impaired||\subparagraph{Leech:} if the bite reduces STR score, the swarm restores the same amount of STR.||
Lion|beast|17|15||6|1|2d6~Claws, d8~Bite||\subparagraph{Pounce:} pass a \save{DEX} or be knocked prone and take Claws and Bite attacks combined.||
Manticore|monster|17|15||8|1|2d6~Claws, d8~Bite|A horrible abomination with a body of a lion, a toothy human-like head, and a tail full of spikes.|\subparagraph{Tail Spikes:} venomous spikes could be shoot quite far, dealing d6~Damage. If the spike reduces STR score, the target suffers d4 DEX Loss as well.||
Mummy|monster,undead|16|8||9|1|d8~Fist, \mbox{immune} to non-magical attacks and mind control magic, Fire attacks are Enhanced|Vengeful embalmed corpses awoken by careless tomb robbers in ruins of ancient cities or temples.|All who are surprised by a Mummy must succeed on a \save{WIL} or be Stunned for the next turn.|\subparagraph{Critical Damage:} infects the target with {\em mummy rot}. The target loses d4~STR and maximum HP right away and each following day until cured by removing the curse or a week of conventional healing.|
Ogre|monster|18|8|7|6|1|club (d8)|Big and ill-tempered man-eating brutes.|||
Orc|monster|11|9|8|5|2 (piecemeal armour + shield)|martial weapon (d6/d8)|Amoral minions that are rarely seen outside of the service of some foul leader and vary hugely in appearance from one master to another.|||
Phase Panther|monster|16|18|6|13||2d8~Clawed~Tentacles|The beast's displaced image grants it Advantage on Critical Damage Saves. Will attack any other living things for fun without provocation.|||
Purple Worm|monster|20|3|5|30|3|d10~Sting|Giant worm that moves underground leaving \mbox{circular} tunnels in its wake.|\subparagraph {Swallow:} a medium or smaller creature must pass a \save{DEX} or be swallowed whole, losing d10~DEX each turn and d8~STR every hour as they are digested. When rolling against Critical Damage, the Worm must succeed on an additional \save{STR} or regurgitate all swallowed creatures.|\subparagraph{Critical Damage:} the target is stung, losing 3d6~STR.|
Red Dragon|monster,dragon|20||12|25|3|2d10~Claws, \mbox{Advantage} on Saves from magic, flight|Cunning and dangerous winged reptile of enormous size. Can speak but generally chooses not to unless properly motivated.|\subparagraph{Fire Breath:} d6 Fire Damage to everyone within the blast. Also causes d6 Fire Damage at the end of their next turn until a \save{DEX} is passed or any other way to put out the flames is found.|Red Dragons instinctively hoard treasure, particularly gold items. A dragon's hoard will be worth 5d20g. If properly harvested, dead dragon's parts will be worth 100g to specialist buyers.|
Rust Monster|monster||12|5|6||d6~Bite|Does not normally attack. Able to turn metal into rust-like dust, which it then consumes. If a melee opponent is carrying a metal weapon, shield, or armour, the Rust Monster will turn one of these to rust as an action, unless they pass a \save{DEX}.|||
Shark|beast|14|14|5|4|1|d8~Bite||||
Skeleton|monster,undead||13|12|5|2 (only against piercing attacks such as arrows and spears)|blunt sword (d6), \mbox{immune} to mind control magic|When a skeleton would be killed by physical attacks, it is smashed into at least two separate pieces. Unless they are kept apart, these will reform on the skeleton's next turn, remaining at 0hp. Each half will continue to fight, but the half without a sword causes only d4 Damage.|||
Snake, Constrictor|beast|16||3|5||d4~Bite||\subparagraph{Constrict:} pass a \save{DEX} or be Restrained and take d8~Damage now and each subsequent turn until a successful \save{STR or DEX}.||
Snake, Venomous|beast||16|3|3||d6~Venomous Bite||\subparagraph{Venomous Bite:} if the bite reduces STR score, \mbox{the target} suffers d4 DEX Loss as well.||
Snake Demon|monster,demon|17|17|16|15|1|six swords (6d6, can target multiple melee opponents), \mbox{non-magical} attacks are Impaired|Snake Demons are charged with overseeing hellish operations and leading lesser minions. They love single combat and will never turn down a duel. They can cast the following Spells as an action.|\subparagraph{Soaring Flight:} the caster can fly quite swiftly until they touch the ground or take Damage.|\subparagraph{Soul Barrier:} ghostly visions of tortured souls form a barrier, screaming and lashing out. Anyone passing through this barrier takes d8 Damage and loses d6~WIL if they take Critical Damage.|
Stinkfrog|monster||13|7|6|1|spear (d8)|Attacks unprovoked and generally tries to lay an ambush for their targets. Amphibious and able to hop several times their own height. Natural animals show a strong animosity towards Stinkfrogs and will attack them in an attempt to drive them away.|||
Troll|monster|18|13|7|9|1|3d8~Claws and Bite (can target multiple melee opponents)|Giant fearless humanoids with a taste for flesh.|\subparagraph{Mutations:} due to their unnatural regeneration, some Trolls grow extra limbs, heads or develop even weirder deformities.|\subparagraph{Regeneration:} restores d6hp, d6~STR~Loss and recovers from Critical Damage at the start of each turn. The regeneration does not work if the Troll has taken Acid or Fire Damage on the previous turn.|
Wild Boar|beast|13|11|5|4||d6~Tusks||\subparagraph{Charge:} pass a \save{DEX} or take d8~Damage.||
Wolf|beast|12|15|6|3||d6~Bite||||
Yeti|monster|18|14||6|1|2d6~Claws|Giant abominable apes that usually dwell in far mountain forests and prefer to hunt from ambush.|\subparagraph{Grapple:} pass a \save{DEX} or be Restrained and take d8~Damage now and each subsequent turn until a successful \save{STR or DEX}.|\subparagraph{Frightening Gaze:} when Yeti presents itself and gazes upon its opponents, everyone must succeed on a \save{WIL} or be Stunned for the next turn.|
Zombie|monster,undead|14|6||3||d6~Fist, slow, once per Rest \mbox{ignores} first instance of taken Critical Damage|A walking corpse animated by magic.|||
